Row.ID,Date,TIME.POINT,Luna.Num,Luna.Letter,Luna_grouping,TRT,FOCAL,FOCAL_col,FOCAL_ID,USE,FOCAL_HT_mm,Focal_BD,Focal_FL,Focal_FR,FOCAL_REP_EFFORT,FOCAL_Biomass_g,NEIGH,NEIGH_CT,AVG_NEIGH_HT_mm,TALLEST_IN_30cm_mm,Per_Litt,Per_Bare,Per_Plant,Neigh_per_BD,Neigh_per_FL,Neigh_per_FR,ALIVE_Y.N,NOTES,NOTES.2,NOTES.3,NOTES.4,NOTES.5
1,2/25/2021,1,1,A,1.CTRL,CTRL,BE,BLK,1A_CTRL_BE_BLK,Y,7,.,.,.,0,.,BE,1,2,310,15,85,2,.,.,.,Y,,#N/A,#N/A,#N/A,#N/A
2,2/25/2021,1,1,A,1.CTRL,CTRL,BE,BU,1A_CTRL_BE_BU,Y,14,.,.,.,0,.,.,.,.,320,60,40,2,.,.,.,Y,,#N/A,#N/A,#N/A,#N/A
3,2/25/2021,1,1,A,1.CTRL,CTRL,BE,BU_OR,1A_CTRL_BE_BU_OR,Y,8,.,.,.,0,.,BE,2,5,310,70,30,2,.,.,.,Y,,#N/A,#N/A,#N/A,#N/A
4,2/25/2021,1,1,A,1.CTRL,CTRL,BE,CL,1A_CTRL_BE_CL,Y,10,.,.,.,0,.,.,.,.,270,15,85,2,.,.,.,Y,,#N/A,#N/A,#N/A,#N/A
5,2/25/2021,1,1,A,1.CTRL,CTRL,BE,OR,1A_CTRL_BE_OR,Y,7,.,.,.,0,.,BE,1,7,300,60,40,2,.,.,.,Y,,#N/A,#N/A,#N/A,#N/A
6,2/25/2021,1,1,A,1.CTRL,CTRL,BE,PP,1A_CTRL_BE_PP,Y,7,.,.,.,0,.,BE,1,9,330,70,30,2,.,.,.,Y,,#N/A,#N/A,#N/A,#N/A
7,2/25/2021,1,1,A,1.CTRL,CTRL,BE,RD,1A_CTRL_BE_RD,Y,15,.,.,.,0,.,.,.,.,300,70,30,2,.,.,.,Y,,#N/A,#N/A,#N/A,#N/A
8,2/25/2021,1,1,A,1.CTRL,CTRL,BE,RD_PP,1A_CTRL_BE_RD_PP,Y,11,.,.,.,0,.,BE,1,6,290,10,90,2,.,.,.,Y,,#N/A,#N/A,#N/A,#N/A
9,2/25/2021,1,1,A,1.CTRL,CTRL,BE,RD_PP,1A_CTRL_BE_RD_PP,Y,11,.,.,.,0,.,TINY FB,1,2,290,10,90,2,.,.,.,Y,,#N/A,#N/A,#N/A,#N/A
10,2/25/2021,1,1,A,1.CTRL,CTRL,BR,RD,1A_CTRL_BR_RD,Y,4,.,.,.,0,.,BR,1,2,170,40,60,2,.,.,.,Y,,#N/A,#N/A,#N/A,#N/A
11,2/25/2021,1,1,A,1.CTRL,CTRL,FG,BLK,1A_CTRL_FG_BLK,Y,15,.,.,.,0,.,.,.,.,150,40,60,2,.,.,.,Y,,#N/A,#N/A,#N/A,#N/A
12,2/25/2021,1,1,A,1.CTRL,CTRL,FG,BU,1A_CTRL_FG_BU,Y,13,.,.,.,0,.,BE,1,9,310,60,40,2,.,.,.,Y,,#N/A,#N/A,#N/A,#N/A
13,2/25/2021,1,1,A,1.CTRL,CTRL,FG,BU_PP,1A_CTRL_FG_BU_PP,Y,19,.,.,.,0,.,.,.,.,170,50,50,2,.,.,.,Y,,#N/A,#N/A,#N/A,#N/A
14,2/25/2021,1,1,A,1.CTRL,CTRL,FG,CL,1A_CTRL_FG_CL,Y,6,.,.,.,0,.,.,.,.,150,15,85,2,.,.,.,Y,,#N/A,#N/A,#N/A,#N/A
15,2/25/2021,1,1,A,1.CTRL,CTRL,FG,OR,1A_CTRL_FG_OR,Y,14,.,.,.,0,.,FG,1,13,320,50,50,2,.,.,.,Y,,#N/A,#N/A,#N/A,#N/A
16,2/25/2021,1,1,A,1.CTRL,CTRL,FG,OR_PP,1A_CTRL_FG_OR_PP,Y,20,.,.,.,0,.,.,.,.,290,15,85,2,.,.,.,Y,,#N/A,#N/A,#N/A,#N/A
17,2/25/2021,1,1,A,1.CTRL,CTRL,FG,PP,1A_CTRL_FG_PP,Y,26,.,.,.,0,.,BE,1,10,310,80,20,2,.,.,.,Y,,#N/A,#N/A,#N/A,#N/A
18,2/25/2021,1,1,A,1.CTRL,CTRL,FG,RD,1A_CTRL_FG_RD,Y,8,.,.,.,0,.,.,.,.,310,40,60,2,.,.,.,Y,,#N/A,#N/A,#N/A,#N/A
19,2/25/2021,1,1,A,1.CTRL,CTRL,GR,BLK,1A_CTRL_GR_BLK,Y,13,.,.,.,0,.,BE,2,8,130,30,70,2,.,.,.,Y,,#N/A,#N/A,#N/A,#N/A
20,2/25/2021,1,1,A,1.CTRL,CTRL,GR,BLK,1A_CTRL_GR_BLK,Y,13,.,.,.,0,.,GR,3,13,130,30,70,2,.,.,.,Y,,#N/A,#N/A,#N/A,#N/A
21,2/25/2021,1,1,A,1.CTRL,CTRL,GR,BU,1A_CTRL_GR_BU,Y,11,.,.,.,0,.,FG,1,22,170,50,50,3,.,.,.,Y,,#N/A,#N/A,#N/A,#N/A
22,2/25/2021,1,1,A,1.CTRL,CTRL,GR,BU,1A_CTRL_GR_BU,Y,11,.,.,.,0,.,TINY CLUB,1,6,170,50,50,3,.,.,.,Y,,#N/A,#N/A,#N/A,#N/A
23,2/25/2021,1,1,A,1.CTRL,CTRL,GR,CL,1A_CTRL_GR_CL,Y,17,.,.,.,0,.,BE,1,15,130,40,60,2,.,.,.,Y,,#N/A,#N/A,#N/A,#N/A
24,2/25/2021,1,1,A,1.CTRL,CTRL,GR,CL,1A_CTRL_GR_CL,Y,17,.,.,.,0,.,BLUE DICK,1,47,130,40,60,2,.,.,.,Y,,#N/A,#N/A,#N/A,#N/A
25,2/25/2021,1,1,A,1.CTRL,CTRL,GR,CL,1A_CTRL_GR_CL,Y,17,.,.,.,0,.,GR,7,15,130,40,60,2,.,.,.,Y,,#N/A,#N/A,#N/A,#N/A
26,2/25/2021,1,1,A,1.CTRL,CTRL,GR,OR,1A_CTRL_GR_OR,Y,20,.,.,.,0,.,GR,1,14,300,70,30,2,.,.,.,Y,,#N/A,#N/A,#N/A,#N/A
27,2/25/2021,1,1,A,1.CTRL,CTRL,GR,OR_BLK,1A_CTRL_GR_OR_BLK,Y,18,.,.,.,0,.,BE,1,3,130,20,80,2,.,.,.,Y,,#N/A,#N/A,#N/A,#N/A
28,2/25/2021,1,1,A,1.CTRL,CTRL,GR,OR_BLK,1A_CTRL_GR_OR_BLK,Y,18,.,.,.,0,.,GR,11,14,130,20,80,2,.,.,.,Y,,#N/A,#N/A,#N/A,#N/A
29,2/25/2021,1,1,A,1.CTRL,CTRL,GR,OR_PP,1A_CTRL_GR_OR_PP,Y,22,.,.,.,0,.,GR,3,18,130,20,80,2,.,.,.,Y,,#N/A,#N/A,#N/A,#N/A
30,2/25/2021,1,1,A,1.CTRL,CTRL,GR,PP,1A_CTRL_GR_PP,Y,19,.,.,.,0,.,BE,2,7,235,40,60,3,.,.,.,Y,,#N/A,#N/A,#N/A,#N/A
31,2/25/2021,1,1,A,1.CTRL,CTRL,GR,PP,1A_CTRL_GR_PP,Y,19,.,.,.,0,.,GR,4,19,235,40,60,3,.,.,.,Y,,#N/A,#N/A,#N/A,#N/A
32,2/25/2021,1,1,A,1.CTRL,CTRL,GR,RD,1A_CTRL_GR_RD,Y,29,.,.,.,0,.,.,.,.,300,30,70,2,.,.,.,Y,,#N/A,#N/A,#N/A,#N/A
64,2/25/2021,1,1,B,1.CTRL,CTRL,BE,BLK,1B_CTRL_BE_BLK,Y,13,.,.,.,0,.,BE,1,11,165,10,90,2,.,.,.,Y,,#N/A,#N/A,#N/A,#N/A
65,2/25/2021,1,1,B,1.CTRL,CTRL,BE,BU,1B_CTRL_BE_BU,Y,5,.,.,.,0,.,BE,2,7,70,20,80,3,.,.,.,Y,,#N/A,#N/A,#N/A,#N/A
66,2/25/2021,1,1,B,1.CTRL,CTRL,BE,BU,1B_CTRL_BE_BU,Y,5,.,.,.,0,.,FG,1,8,70,20,80,3,.,.,.,Y,,#N/A,#N/A,#N/A,#N/A
67,2/25/2021,1,1,B,1.CTRL,CTRL,BE,BU,1B_CTRL_BE_BU,Y,5,.,.,.,0,.,GR,1,10,70,20,80,3,.,.,.,Y,,#N/A,#N/A,#N/A,#N/A
68,2/25/2021,1,1,B,1.CTRL,CTRL,BE,CL,1B_CTRL_BE_CL,Y,10,.,.,.,0,.,.,.,.,165,10,90,2,.,.,.,Y,,#N/A,#N/A,#N/A,#N/A
69,2/25/2021,1,1,B,1.CTRL,CTRL,BE,OR,1B_CTRL_BE_OR,Y,10,.,.,.,0,.,FG,2,8,250,40,60,2,.,.,.,Y,,#N/A,#N/A,#N/A,#N/A
70,2/25/2021,1,1,B,1.CTRL,CTRL,BE,OR,1B_CTRL_BE_OR,Y,10,.,.,.,0,.,GR,1,13,250,40,60,2,.,.,.,Y,,#N/A,#N/A,#N/A,#N/A
71,2/25/2021,1,1,B,1.CTRL,CTRL,BE,PP,1B_CTRL_BE_PP,Y,6,.,.,.,0,.,.,.,.,290,5,95,2,.,.,.,Y,,#N/A,#N/A,#N/A,#N/A
72,2/25/2021,1,1,B,1.CTRL,CTRL,BE,PP_BLK,1B_CTRL_BE_PP_BLK,Y,12,.,.,.,0,.,BE,1,12,210,30,70,2,.,.,.,Y,,#N/A,#N/A,#N/A,#N/A
75,2/25/2021,1,1,B,1.CTRL,CTRL,BE,RD,1B_CTRL_BE_RD,Y,7,.,.,.,0,.,.,.,.,280,70,30,2,.,.,.,Y,,#N/A,#N/A,#N/A,#N/A
73,2/25/2021,1,1,B,1.CTRL,CTRL,BE,RD_BLK,1B_CTRL_BE_RD_BLK,Y,8,.,.,.,0,.,BE,2,5,230,10,90,2,.,.,.,Y,,#N/A,#N/A,#N/A,#N/A
74,2/25/2021,1,1,B,1.CTRL,CTRL,BE,RD_BU,1B_CTRL_BE_RD_BU,Y,10,.,.,.,0,.,BE,1,8,230,20,80,2,.,.,.,Y,,#N/A,#N/A,#N/A,#N/A
76,2/25/2021,1,1,B,1.CTRL,CTRL,BE,RD_OR,1B_CTRL_BE_RD_OR,Y,14,.,.,.,0,.,.,.,.,230,20,80,2,.,.,.,Y,,#N/A,#N/A,#N/A,#N/A
77,2/25/2021,1,1,B,1.CTRL,CTRL,BE,RD_PP,1B_CTRL_BE_RD_PP,Y,12,.,.,.,0,.,FG,1,23,200,15,85,2,.,.,.,Y,,#N/A,#N/A,#N/A,#N/A
78,2/25/2021,1,1,B,1.CTRL,CTRL,BR,RD,1B_CTRL_BR_RD,Y,3,.,.,.,0,.,BE,1,3,155,10,90,2,.,.,.,Y,,#N/A,#N/A,#N/A,#N/A
79,2/25/2021,1,1,B,1.CTRL,CTRL,FG,BLK,1B_CTRL_FG_BLK,Y,12,.,.,.,0,.,FG,1,12,280,40,60,2,.,.,.,Y,,#N/A,#N/A,#N/A,#N/A
80,2/25/2021,1,1,B,1.CTRL,CTRL,FG,BU,1B_CTRL_FG_BU,Y,15,.,.,.,0,.,FG,4,15,290,10,90,3,.,.,.,Y,,#N/A,#N/A,#N/A,#N/A
81,2/25/2021,1,1,B,1.CTRL,CTRL,FG,BU_OR,1B_CTRL_FG_BU_OR,Y,16,.,.,.,0,.,TINY FB,1,2,210,30,70,2,.,.,.,Y,,#N/A,#N/A,#N/A,#N/A
82,2/25/2021,1,1,B,1.CTRL,CTRL,FG,CL,1B_CTRL_FG_CL,Y,25,.,.,.,0,.,BE,1,13,280,80,20,2,.,.,.,Y,,#N/A,#N/A,#N/A,#N/A
83,2/25/2021,1,1,B,1.CTRL,CTRL,FG,CL_OR,1B_CTRL_FG_CL_OR,Y,19,.,.,.,0,.,FG,3,13,210,15,85,2,.,.,.,Y,,#N/A,#N/A,#N/A,#N/A
84,2/25/2021,1,1,B,1.CTRL,CTRL,FG,OR,1B_CTRL_FG_OR,Y,15,.,.,.,0,.,BE,1,4,290,20,80,2,.,.,.,Y,,#N/A,#N/A,#N/A,#N/A
85,2/25/2021,1,1,B,1.CTRL,CTRL,FG,OR,1B_CTRL_FG_OR,Y,15,.,.,.,0,.,GR,1,12,290,20,80,2,.,.,.,Y,,#N/A,#N/A,#N/A,#N/A
86,2/25/2021,1,1,B,1.CTRL,CTRL,FG,PP,1B_CTRL_FG_PP,Y,15,.,.,.,0,.,FG,1,15,290,60,40,2,.,.,.,Y,,#N/A,#N/A,#N/A,#N/A
87,2/25/2021,1,1,B,1.CTRL,CTRL,FG,RD,1B_CTRL_FG_RD,Y,13,.,.,.,0,.,.,.,.,280,30,70,2,.,.,.,Y,,#N/A,#N/A,#N/A,#N/A
88,2/25/2021,1,1,B,1.CTRL,CTRL,FG,RD_PP,1B_CTRL_FG_RD_PP,Y,12,.,.,.,0,.,FG,1,10,290,80,20,2,.,.,.,Y,,#N/A,#N/A,#N/A,#N/A
89,2/25/2021,1,1,B,1.CTRL,CTRL,GR,BU,1B_CTRL_GR_BU,Y,18,.,.,.,0,.,BE,2,4,250,10,90,3,.,.,.,Y,,#N/A,#N/A,#N/A,#N/A
90,2/25/2021,1,1,B,1.CTRL,CTRL,GR,BU,1B_CTRL_GR_BU,Y,18,.,.,.,0,.,FG,1,18,250,10,90,3,.,.,.,Y,,#N/A,#N/A,#N/A,#N/A
91,2/25/2021,1,1,B,1.CTRL,CTRL,GR,BU,1B_CTRL_GR_BU,Y,18,.,.,.,0,.,GR,9,23,250,10,90,3,.,.,.,Y,,#N/A,#N/A,#N/A,#N/A
92,2/25/2021,1,1,B,1.CTRL,CTRL,GR,BU,1B_CTRL_GR_BU,Y,18,.,.,.,0,.,TINY CLUB,11,4,250,10,90,3,.,.,.,Y,,#N/A,#N/A,#N/A,#N/A
93,2/25/2021,1,1,B,1.CTRL,CTRL,GR,CL,1B_CTRL_GR_CL,Y,20,.,.,.,0,.,FG,2,18,230,10,90,5,.,.,.,Y,,#N/A,#N/A,#N/A,#N/A
